id,name,original_name,first_air_date,last_air_date,number_of_seasons,number_of_episodes,status,in_production,genres,networks,origin_country,languages,vote_average,vote_count,popularity
28172,The Boys,The Boys,1993-08-20,1993-09-17,1,7,Ended,False,Comedy,CBS,US,en,0.0,0,0.7238
60603,The Curse of Oak Island,The Curse of Oak Island,2014-01-05,2025-05-20,14,232,Returning Series,True,Mystery|Action & Adventure|Reality|Documentary,History,US,en,7.283,145,12.4574
222766,The Day of the Jackal,The Day of the Jackal,2024-11-07,2024-12-12,1,10,Returning Series,True,Drama|Action & Adventure|Mystery,Sky Atlantic|Sky Showcase,GB,de|es|en,8.168,743,34.4239
253372,The Institute,The Institute,2025-07-13,2025-08-24,2,11,Returning Series,True,Mystery|Sci-Fi & Fantasy,MGM+,US,en,7.807,83,24.7212
84773,The Lord of the Rings: The Rings of Power,The Lord of the Rings: The Rings of Power,2022-09-01,2024-10-03,3,16,Returning Series,True,Action & Adventure|Sci-Fi & Fantasy|Drama,Prime Video,US,am|en,7.284,3407,43.4186
84910,The Masked Singer,The Masked Singer,2019-01-02,2025-05-07,14,173,Returning Series,True,Reality,FOX,US,en,7.6,117,11.7433
129552,The Night Agent,The Night Agent,2023-03-23,2025-01-23,3,20,Returning Series,True,Action & Adventure|Drama|Mystery,Netflix,US,en,7.8,971,15.3497
101359,The Secret of Skinwalker Ranch,The Secret of Skinwalker Ranch,2020-03-31,2025-08-26,6,72,Returning Series,True,Reality|Documentary,History,US,en|fr,8.0,52,7.817
70,This Hour Has 22 Minutes,This Hour Has 22 Minutes,1993-10-11,2025-03-25,32,491,Returning Series,True,News|Comedy,CBC Television,CA,en,6.608,51,3.8104
211288,Tracker,Tracker,2024-02-11,2025-05-11,3,35,Returning Series,True,Drama|Crime,CBS,US,en,7.5,209,20.5354
117488,Yellowjackets,Yellowjackets,2021-11-14,2025-04-13,4,29,Returning Series,True,Drama|Mystery,Showtime|Paramount+ with Showtime,US,en,7.5,855,10.8678
