show_id,show_name,season_number,name,air_date,episode_count,season_poster_url
1431,CSI: Crime Scene Investigation,1,Season 1,2000-10-06,23,https://image.tmdb.org/t/p/w342/4476Frhzun0BilSwZFgiQ6Nkrb8.jpg
1431,CSI: Crime Scene Investigation,2,Season 2,2001-09-27,23,https://image.tmdb.org/t/p/w342/vPNwbSgfIrTsKbRPElYQ5OdDSOv.jpg
1431,CSI: Crime Scene Investigation,3,Season 3,2002-09-25,23,https://image.tmdb.org/t/p/w342/t7A6CvGB4zElX8DKv7srwFVQUBo.jpg
1431,CSI: Crime Scene Investigation,4,Season 4,2003-09-24,23,https://image.tmdb.org/t/p/w342/b5ya3S8ErtamIWvNORnf1BFA3Dz.jpg
1431,CSI: Crime Scene Investigation,5,Season 5,2004-09-23,25,https://image.tmdb.org/t/p/w342/d9zBALX3L8f347LKB64KWBL5Fwx.jpg
1431,CSI: Crime Scene Investigation,6,Season 6,2005-09-22,24,https://image.tmdb.org/t/p/w342/iQVrouWJHrrY4CXDIJBj1skMix3.jpg
1431,CSI: Crime Scene Investigation,7,Season 7,2006-09-21,24,https://image.tmdb.org/t/p/w342/6IHQ6w0vaDOhXciwXYLlavnwB9d.jpg
1431,CSI: Crime Scene Investigation,8,Season 8,2007-09-27,17,https://image.tmdb.org/t/p/w342/fRIDRonYf5twnnIhmGXIuEQHV6h.jpg
1431,CSI: Crime Scene Investigation,9,Season 9,2008-10-09,24,https://image.tmdb.org/t/p/w342/zzh7ejjQ3t56IGmdMekrPO4PmHU.jpg
1431,CSI: Crime Scene Investigation,10,Season 10,2009-09-24,23,https://image.tmdb.org/t/p/w342/b18YZzXdiTtsMJP0OosYSwHV9Pc.jpg
1431,CSI: Crime Scene Investigation,11,Season 11,2010-09-23,22,https://image.tmdb.org/t/p/w342/o5aqgaVdaqx9MnwKvMBvBtYZd9c.jpg
1431,CSI: Crime Scene Investigation,12,Season 12,2011-09-21,22,https://image.tmdb.org/t/p/w342/sgSRAvaCmEHPNFKddlzVtBHOavq.jpg
1431,CSI: Crime Scene Investigation,13,Season 13,2012-09-26,22,https://image.tmdb.org/t/p/w342/8xg1EYYN7owHAzUubyMRY2O4V6U.jpg
1431,CSI: Crime Scene Investigation,14,Season 14,2013-09-25,22,https://image.tmdb.org/t/p/w342/qNa0GND7eCX1UVRTpyv3Bvd1EZ9.jpg
1431,CSI: Crime Scene Investigation,15,Season 15,2014-09-28,18,https://image.tmdb.org/t/p/w342/uQeaYhBz9jnMaDgM0sZXv5HTbTG.jpg
1405,Dexter,0,Specials,2009-10-25,42,https://image.tmdb.org/t/p/w342/Ast1fRXfgqMPskoKVEQYPlCNA3w.jpg
1405,Dexter,1,Season 1,2006-10-01,12,https://image.tmdb.org/t/p/w342/rmhoMEHK3ZP2EAXX2VpxuKpW3Bf.jpg
1405,Dexter,2,Season 2,2007-09-30,12,https://image.tmdb.org/t/p/w342/t8o6P0pTsnfgsUo6AXSuaiw9fgG.jpg
1405,Dexter,3,Season 3,2008-09-28,12,https://image.tmdb.org/t/p/w342/8zyoh0AtArOyTq0F2USckRGzZEU.jpg
1405,Dexter,4,Season 4,2009-09-27,12,https://image.tmdb.org/t/p/w342/1Oh0QmXVTnyV9QqpDcEpvxtKYFw.jpg
1405,Dexter,5,Season 5,2010-09-26,12,https://image.tmdb.org/t/p/w342/sKDHRvdaHfhiYzCFCXQoo1TuHhb.jpg
1405,Dexter,6,Season 6,2011-10-02,12,https://image.tmdb.org/t/p/w342/yxylCqF28NttybWJvQtHztTdDKr.jpg
1405,Dexter,7,Season 7,2012-09-30,12,https://image.tmdb.org/t/p/w342/lM4EY2L324exlZ1hF2YpBM0a97J.jpg
1405,Dexter,8,Season 8,2013-06-30,12,https://image.tmdb.org/t/p/w342/q8dWfc4JwQuv3HayIZeO84jAXED.jpg
131927,Dexter: New Blood,1,Season 1,2021-11-07,10,https://image.tmdb.org/t/p/w342/onnYrRDxvfEAjeXHxq1BoyUF419.jpg
219937,Dexter: Original Sin,1,Season 1,2024-12-14,10,https://image.tmdb.org/t/p/w342/bdWD2QHLISAQFR47Mdtpn3MwnGi.jpg
259909,Dexter: Resurrection,1,Season 1,2025-07-13,10,https://image.tmdb.org/t/p/w342/hRD9kvYLbySRvtt9Nh7QK6XECZX.jpg
57243,Doctor Who,0,Specials,2005-11-18,199,https://image.tmdb.org/t/p/w342/oKUI2vCVGpakvfZJ4GmEZC8AvRX.jpg
57243,Doctor Who,1,Series 1,2005-03-26,13,https://image.tmdb.org/t/p/w342/9Jt2FFCAME7eHDC28r4qCHErhhF.jpg
57243,Doctor Who,2,Series 2,2006-04-15,13,https://image.tmdb.org/t/p/w342/oXVmsIkZCgJDNcZJJxzvV7zwyb1.jpg
57243,Doctor Who,3,Series 3,2007-04-01,13,https://image.tmdb.org/t/p/w342/67xbjSv353G2rqQIs6dnDKc6P11.jpg
57243,Doctor Who,4,Series 4,2008-04-05,13,https://image.tmdb.org/t/p/w342/h6hogh9U371q87XLhvrJbczg8lm.jpg
57243,Doctor Who,5,Series 5,2010-04-03,13,https://image.tmdb.org/t/p/w342/hUsQerEeMqsu9cVYzMEB2OGJjrw.jpg
57243,Doctor Who,6,Series 6,2011-04-23,13,https://image.tmdb.org/t/p/w342/xmfMcVkVer5r33QhA4e2DpIR78B.jpg
57243,Doctor Who,7,Series 7,2012-09-01,13,https://image.tmdb.org/t/p/w342/6biGcR0OyFnKRxxUW7bGtK49wTd.jpg
57243,Doctor Who,8,Series 8,2014-08-23,12,https://image.tmdb.org/t/p/w342/wLxULmhnIM1wbzjzvFnEq8YXtFB.jpg
57243,Doctor Who,9,Series 9,2015-09-19,12,https://image.tmdb.org/t/p/w342/AeFY6HsLGcanP2fhD6Feii9BhHW.jpg
57243,Doctor Who,10,Series 10,2017-04-15,12,https://image.tmdb.org/t/p/w342/9ExkVNeQw695kQ8xsnm2TJhTEFP.jpg
57243,Doctor Who,11,Series 11,2018-10-07,10,https://image.tmdb.org/t/p/w342/tFu6Or2wZP8xW5CBUy3MROtcF29.jpg
57243,Doctor Who,12,Series 12,2020-01-01,10,https://image.tmdb.org/t/p/w342/cDDb7WA2i7cENhkEEjXEDrXGyNL.jpg
57243,Doctor Who,13,Flux,2021-10-31,6,https://image.tmdb.org/t/p/w342/hnAwYE6NvC4UVdMRPd7FOX52PQy.jpg
80748,FBI,1,Season 1,2018-09-24,22,https://image.tmdb.org/t/p/w342/uJZUfoGqtiuGfGXtVgYqIafZ1Ii.jpg
80748,FBI,2,Season 2,2019-09-23,19,https://image.tmdb.org/t/p/w342/g2BK0uwB25o35giSpFHfqRXE4Bp.jpg
80748,FBI,3,Season 3,2020-11-16,15,https://image.tmdb.org/t/p/w342/7aWmC7BjwBFgIKA77VqrXyRPicJ.jpg
80748,FBI,4,Season 4,2021-09-20,21,https://image.tmdb.org/t/p/w342/cGLQRv3MLWGrHMhRGn1zsSa9n2i.jpg
80748,FBI,5,Season 5,2022-09-20,23,https://image.tmdb.org/t/p/w342/lFTHqAw2lHisXGB0bcoyEvKRYad.jpg
80748,FBI,6,Season 6,2024-02-13,13,https://image.tmdb.org/t/p/w342/tBDxVLHCsiA3fp9D2eWrq8QImEC.jpg
80748,FBI,7,Season 7,2024-10-15,22,https://image.tmdb.org/t/p/w342/bircXcCsvP2DUximyQUOn5p2s4.jpg
80748,FBI,8,Season 8,2025-10-13,2,
121658,FBI: International,1,Season 1,2021-09-20,21,https://image.tmdb.org/t/p/w342/aAJsTMDPuGITCq0CC1JqfXjIDam.jpg
121658,FBI: International,2,Season 2,2022-09-19,22,https://image.tmdb.org/t/p/w342/o8udJ5s6lHbP6B22Eu4R9WwsDpL.jpg
121658,FBI: International,3,Season 3,2024-02-13,13,https://image.tmdb.org/t/p/w342/smHB9FDqxdJePYwE2aUyIkrNdcA.jpg
121658,FBI: International,4,Season 4,2024-10-14,22,https://image.tmdb.org/t/p/w342/zRLTK78fOZc5Wfsc4YAjPnPdzch.jpg
94372,FBI: Most Wanted,1,Season 1,2020-01-06,14,https://image.tmdb.org/t/p/w342/uhwzWXHZnhIS9rqO4OQd1bZlZAQ.jpg
94372,FBI: Most Wanted,2,Season 2,2020-11-16,15,https://image.tmdb.org/t/p/w342/o22CG78OSDzW7KpgLugjXTrRXTz.jpg
94372,FBI: Most Wanted,3,Season 3,2021-09-20,22,https://image.tmdb.org/t/p/w342/3Yyxq2X4ZwUpdwgMvarTuEc87fi.jpg
94372,FBI: Most Wanted,4,Season 4,2022-09-19,22,https://image.tmdb.org/t/p/w342/vpprgWCuDJ4CucJhFB4fBHdX9D7.jpg
94372,FBI: Most Wanted,5,Season 5,2024-02-12,13,https://image.tmdb.org/t/p/w342/830PknG9zNF4Fc1Dc8FJs6TBnWv.jpg
94372,FBI: Most Wanted,6,Season 6,2024-10-15,22,https://image.tmdb.org/t/p/w342/uwTNBqFrEur3EtK8ofWbtGXMQOP.jpg
124364,FROM,1,Season 1,2022-02-20,10,https://image.tmdb.org/t/p/w342/ps46NdLlH70ptDD8ailTL8TCZU3.jpg
124364,FROM,2,Season 2,2023-04-23,10,https://image.tmdb.org/t/p/w342/1JdjopyVdtT8ZcGLfQtqTF2DEx4.jpg
124364,FROM,3,Season 3,2024-09-22,10,https://image.tmdb.org/t/p/w342/sj64QEEb6JM1CdCfXHaIbA3WPx8.jpg
124364,FROM,4,Season 4,,0,
1399,Game of Thrones,0,Specials,2010-12-05,286,https://image.tmdb.org/t/p/w342/aos6lC1JGYt6ZRL85lgstNsfSeY.jpg
1399,Game of Thrones,1,Season 1,2011-04-17,10,https://image.tmdb.org/t/p/w342/wgfKiqzuMrFIkU1M68DDDY8kGC1.jpg
1399,Game of Thrones,2,Season 2,2012-04-01,10,https://image.tmdb.org/t/p/w342/9xfNkPwDOqyeUvfNhs1XlWA0esP.jpg
1399,Game of Thrones,3,Season 3,2013-03-31,10,https://image.tmdb.org/t/p/w342/5MkZjRnCKiIGn3bkXrXfndEzqOU.jpg
1399,Game of Thrones,4,Season 4,2014-04-06,10,https://image.tmdb.org/t/p/w342/jXIMScXE4J4EVHUba1JgxZnWbo4.jpg
1399,Game of Thrones,5,Season 5,2015-04-12,10,https://image.tmdb.org/t/p/w342/7Q1Hy1AHxAzA2lsmzEMBvuWTX0x.jpg
1399,Game of Thrones,6,Season 6,2016-04-24,10,https://image.tmdb.org/t/p/w342/p1udLh0gfqyZFmXBGa393gk8go5.jpg
1399,Game of Thrones,7,Season 7,2017-07-16,7,https://image.tmdb.org/t/p/w342/oX51n32QyHeFP5kErksemJsJljL.jpg
1399,Game of Thrones,8,Season 8,2019-04-14,6,https://image.tmdb.org/t/p/w342/259Q5FuaD3TNB7DGauTaJVRC8XV.jpg
39416,Geordie Shore,0,Specials,2011-08-23,8,
39416,Geordie Shore,1,Season 1,2011-05-24,10,https://image.tmdb.org/t/p/w342/iXYsS6H5JKSN8EFiW7n6hfXWEWQ.jpg
