show_id,show_name,season_number,name,air_date,episode_count
39416,Geordie Shore,1,Season 1,2011-05-24,10
39416,Geordie Shore,2,Season 2,2012-01-31,10
39416,Geordie Shore,3,Season 3,2012-06-26,8
39416,Geordie Shore,4,Season 4,2012-11-06,8
39416,Geordie Shore,5,Season 5,2013-02-19,9
39416,Geordie Shore,6,Season 6,2013-07-09,8
39416,Geordie Shore,7,Season 7,2013-09-17,6
39416,Geordie Shore,8,Season 8,2014-07-22,8
39416,Geordie Shore,9,Season 9,2014-10-28,8
39416,Geordie Shore,10,Season 10,2015-04-07,8
39416,Geordie Shore,11,Season 11,2015-10-20,10
39416,Geordie Shore,12,Season 12,2016-03-15,8
39416,Geordie Shore,13,Season 13,2016-10-25,10
39416,Geordie Shore,14,Season 14,2017-03-28,12
39416,Geordie Shore,15,Season 15,2017-08-29,9
39416,Geordie Shore,16,Season 16,2018-01-09,10
39416,Geordie Shore,17,Season 17,2018-05-15,12
39416,Geordie Shore,18,Season 18,2018-10-16,10
39416,Geordie Shore,19,Season 19,2019-04-09,10
39416,Geordie Shore,20,Season 20,2019-10-29,10
39416,Geordie Shore,21,Season 21,2020-07-28,8
39416,Geordie Shore,22,Hot Single Summer,2021-10-04,10
39416,Geordie Shore,23,The Reunion Series,2022-09-20,10
39416,Geordie Shore,24,Season 24,2024-01-09,10
39416,Geordie Shore,25,Season 25,2025-01-07,10
253896,Happy's Place,1,Season 1,2024-10-18,18
253896,Happy's Place,2,Season 2,2025-11-07,2
124834,Heartstopper,1,Season 1,2022-04-22,8
124834,Heartstopper,2,Season 2,2023-08-03,8
124834,Heartstopper,3,Season 3,2024-10-03,8
226637,High Potential,1,Season 1,2024-09-17,13
226637,High Potential,2,Season 2,2025-09-16,4
549,Law & Order,0,Specials,,7
549,Law & Order,1,Season 1,1990-09-13,22
549,Law & Order,2,Season 2,1991-09-16,22
549,Law & Order,3,Season 3,1992-09-22,22
549,Law & Order,4,Season 4,1993-09-15,22
549,Law & Order,5,Season 5,1994-09-21,23
549,Law & Order,6,Season 6,1995-09-20,23
549,Law & Order,7,Season 7,1996-09-18,23
549,Law & Order,8,Season 8,1997-09-24,24
549,Law & Order,9,Season 9,1998-09-23,24
549,Law & Order,10,Season 10,1999-09-22,24
549,Law & Order,11,Season 11,2000-10-17,24
549,Law & Order,12,Season 12,2001-09-25,24
549,Law & Order,13,Season 13,2002-10-01,24
549,Law & Order,14,Season 14,2003-09-23,24
549,Law & Order,15,Season 15,2004-09-21,24
549,Law & Order,16,Season 16,2005-09-20,22
549,Law & Order,17,Season 17,2006-09-21,22
549,Law & Order,18,Season 18,2008-01-01,18
549,Law & Order,19,Season 19,2008-11-04,22
549,Law & Order,20,Season 20,2009-09-24,23
549,Law & Order,21,Season 21,2022-02-23,10
549,Law & Order,22,Season 22,2022-09-22,22
549,Law & Order,23,Season 23,2024-01-17,13
549,Law & Order,24,Season 24,2024-10-03,22
549,Law & Order,25,Season 25,2025-09-25,1
90,Mayday,0,Specials,2004-06-26,59
90,Mayday,1,Season 1,2003-09-03,6
90,Mayday,2,Season 2,2005-01-23,6
90,Mayday,3,Season 3,2005-09-14,13
90,Mayday,4,Season 4,2007-04-15,10
90,Mayday,5,Season 5,2008-04-09,10
90,Mayday,6,Season 6,2007-12-16,3
90,Mayday,7,Season 7,2009-11-04,8
90,Mayday,8,Season 8,2009-06-10,2
90,Mayday,9,Season 9,2010-09-08,8
90,Mayday,10,Season 10,2011-02-28,6
90,Mayday,11,Season 11,2011-08-12,13
90,Mayday,12,Season 12,2012-08-03,13
90,Mayday,13,Season 13,2013-12-16,10
90,Mayday,14,Season 14,2015-01-05,11
90,Mayday,15,Season 15,2016-01-02,10
90,Mayday,16,Season 16,2016-06-07,10
90,Mayday,17,Season 17,2017-02-20,10
90,Mayday,18,Season 18,2018-02-13,10
90,Mayday,19,Season 19,2019-01-02,10
90,Mayday,20,Season 20,2020-01-09,10
90,Mayday,21,Season 21,2021-04-04,10
90,Mayday,22,Season 22,2022-01-10,10
90,Mayday,23,Season 23,2023-02-13,10
90,Mayday,24,Season 24,2024-02-18,10
90,Mayday,25,Season 25,2025-02-03,11
